Sport,Country,League Name,Year,Gender,Champion,Number of Games,Number of Teams,Coeficiente Phi,Quantidade de equipes retiradas,Perc. Equipes Retiradas,Equipes Retiradas
soccer,Qatar,Premier League,2011,men,Lekhwiya SC,132,12,0.7235,4,33.33%,"+Lekhwiya SC,-Al Ahli Doha,+Qatar SC,-Al Sailiya"
soccer,Qatar,Premier League,2012,men,Lekhwiya SC,132,12,0.5863,1,8.33%,-Al Ahli Doha
soccer,Qatar,Premier League,2013,men,Al-Sadd,132,12,0.7016,2,16.67%,"+Al-Sadd,+Lekhwiya SC"
soccer,Qatar,Premier League,2014,men,Lekhwiya SC,182,14,0.5604,1,7.14%,-Al Muaidar
soccer,Qatar,Premier League,2015,men,Lekhwiya SC,182,14,0.7583,3,21.43%,"+Lekhwiya SC,-Shamal,+Al-Sadd"
soccer,Qatar,Premier League,2016,men,Al Rayyan,182,14,0.7153,2,14.29%,"-Al Mesaimeer,+Al Rayyan"
soccer,Romania,Liga 1,2007,men,Din. Bucuresti,306,18,0.7941,5,27.78%,"+Din- Bucuresti,+FC Steaua Bucuresti,+CFR Cluj,-Jiul Petrosani,+FC Rapid Bucuresti"
soccer,Romania,Liga 1,2008,men,CFR Cluj,306,18,0.7597,5,27.78%,"+CFR Cluj,+FC Steaua Bucuresti,-U- Cluj,+FC Rapid Bucuresti,-UTA Arad"
soccer,Romania,Liga 1,2009,men,Unirea Urziceni,306,18,0.7713,4,22.22%,"-Gloria Buzau,-CS Otopeni,-F- Constanta,+Timisoara"
soccer,Romania,Liga 1,2010,men,CFR Cluj,306,18,0.7106,4,22.22%,"+CFR Cluj,+Unirea Urziceni,+FC Steaua Bucuresti,+Timisoara"
soccer,Romania,Liga 1,2011,men,Otelul,306,18,0.7605,5,27.78%,"+Otelul,-Sp- Studentesc,-Branesti,-Unirea Urziceni,-FC U-Craiova"
soccer,Romania,Liga 1,2012,men,CFR Cluj,306,18,0.7602,5,27.78%,"-Mioveni,+CFR Cluj,+Vaslui,+FC Steaua Bucuresti,+Din- Bucuresti"
soccer,Romania,Liga 1,2013,men,FC Steaua Bucuresti,306,18,0.7682,5,27.78%,"+FC Steaua Bucuresti,-Bistrita,-CSM Iasi,+Petrolul,+Pandurii"
soccer,Romania,Liga 1,2014,men,FC Steaua Bucuresti,306,18,0.7503,3,16.67%,"-Corona Brasov,+FC Steaua Bucuresti,+Astra"
soccer,Romania,Liga 1,2015,men,FC Steaua Bucuresti,306,18,0.6225,3,16.67%,"+FC Steaua Bucuresti,+Targu Mures,-Ceahlaul"
soccer,Russia,Premier League,2007,men,Zenit Petersburg,240,16,0.6649,2,12.50%,"-FK Rostov,+Zenit Petersburg"
soccer,Russia,Premier League,2008,men,Rubin Kazan,240,16,0.6877,7,43.75%,"+Rubin Kazan,-Luch Energiya,+Dynamo Moscow,-Shinnik Yaroslavl,+CSKA Moscow,+Zenit Petersburg,+Amkar"
soccer,Russia,Premier League,2009,men,Rubin Kazan,240,16,0.7100,2,12.50%,"-FK Chimki Moskovska oblast,+Rubin Kazan"
soccer,Russia,Premier League,2010,men,Zenit Petersburg,240,16,0.7305,3,18.75%,"+Zenit Petersburg,+CSKA Moscow,+Rubin Kazan"
soccer,Russia,Premier League,2012,men,Zenit Petersburg,240,16,0.7423,5,31.25%,"-Tomsk,+Zenit Petersburg,+CSKA Moscow,-Spartak Nalchik,-Volga N- Novgorod"
soccer,Russia,Premier League,2013,men,CSKA Moscow,240,16,0.7428,5,31.25%,"-Vladikavkaz,-M- Saransk,+CSKA Moscow,-FK Rostov,-Volga N- Novgorod"
soccer,Russia,Premier League,2014,men,CSKA Moscow,240,16,0.7333,3,18.75%,"+CSKA Moscow,+Zenit Petersburg,+Lokomotiv Moscow"
soccer,Russia,Premier League,2015,men,Zenit Petersburg,240,16,0.6892,2,12.50%,"+Zenit Petersburg,+CSKA Moscow"
soccer,Russia,Premier League,2016,men,CSKA Moscow,240,16,0.7659,5,31.25%,"+CSKA Moscow,+FK Rostov,+Zenit Petersburg,+Spartak Moscow,+Krasnodar"
soccer,Saudi Arabia,Saudi Professional League ,2010,men,Al-Hilal,132,12,0.7731,2,16.67%,"+Al-Hilal,+Al-Ittihad FC"
soccer,Saudi Arabia,Saudi Professional League ,2011,men,Al-Hilal,182,14,0.7852,2,14.29%,"-Al-Hazm,+Al-Hilal"
soccer,Saudi Arabia,Saudi Professional League ,2012,men,Al-Shabab,182,14,0.8402,5,35.71%,"+Al-Shabab,+Al Ahli SC,+Al-Hilal,-Al Ansar,+Al-Ettifaq"
soccer,Saudi Arabia,Saudi Professional League ,2013,men,Al-Fateh,182,14,0.8348,5,35.71%,"+Al-Fateh,+Al-Hilal,-Al Wehda,-Hajer,+Al-Shabab"
soccer,Saudi Arabia,Saudi Professional League ,2014,men,Al-Nasr,182,14,0.7872,2,14.29%,"+Al-Nasr,+Al-Hilal"
soccer,Saudi Arabia,Saudi Professional League ,2015,men,Al-Nasr,182,14,0.8016,4,28.57%,"+Al-Nasr,+Al-Hilal,+Al Ahli SC,+Al-Ittihad FC"
soccer,Saudi Arabia,Saudi Professional League ,2016,men,Al Ahli SC,182,14,0.7798,4,28.57%,"+Al Ahli SC,-Hajer,+Al-Hilal,-Najran"
soccer,Scotland,Premier League,2007,men,Celtic,198,12,0.7712,3,25.00%,"+Celtic,+Rangers,+Aberdeen"
soccer,Scotland,Premier League,2008,men,Rangers,198,12,0.8043,2,16.67%,"+Rangers,+Celtic"
soccer,Scotland,Premier League,2009,men,Celtic,198,12,0.7629,2,16.67%,"+Celtic,+Rangers"
soccer,Scotland,Premier League,2010,men,Rangers,198,12,0.7841,3,25.00%,"+Rangers,+Celtic,+Dundee Utd"
soccer,Scotland,Premier League,2011,men,Rangers,198,12,0.8380,3,25.00%,"+Rangers,+Celtic,-Hamilton"
soccer,Scotland,Premier League,2012,men,Celtic,198,12,0.8268,3,25.00%,"+Celtic,+Rangers,+Motherwell"
soccer,Scotland,Premier League,2013,men,Celtic,198,12,0.5915,1,8.33%,+Celtic
soccer,Scotland,Premiership,2014,men,Celtic,198,12,0.8236,3,25.00%,"+Celtic,+Aberdeen,+Motherwell"
soccer,Scotland,Premiership,2015,men,Celtic,198,12,0.7720,2,16.67%,"+Celtic,+Aberdeen"
soccer,Scotland,Premiership,2016,men,Celtic,198,12,0.7414,2,16.67%,"+Celtic,+Aberdeen"
soccer,Serbia,Super Liga,2008,men,Partizan,198,12,0.8409,3,25.00%,"+Partizan,+FK Crvena zvezda,+Vojvodina"
soccer,Serbia,Super Liga,2009,men,Partizan,198,12,0.7797,2,16.67%,"+Partizan,+Vojvodina"
soccer,Serbia,Super Liga,2010,men,Partizan,240,16,0.7767,2,12.50%,"+Partizan,+FK Crvena zvezda"
soccer,Serbia,Super Liga,2011,men,Partizan,240,16,0.8471,4,25.00%,"-Cukaricki,+Partizan,+FK Crvena zvezda,+Vojvodina"
soccer,Serbia,Super Liga,2012,men,Partizan,240,16,0.8185,4,25.00%,"+Partizan,+FK Crvena zvezda,-Metalac,+Jagodina"
soccer,Serbia,Super Liga,2013,men,Partizan,240,16,0.7697,4,25.00%,"+Partizan,-Smederevo,+Vojvodina,+FK Crvena zvezda"
soccer,Serbia,Super Liga,2014,men,FK Crvena zvezda,240,16,0.7384,2,12.50%,"+FK Crvena zvezda,+Partizan"
soccer,Serbia,Super Liga,2015,men,Partizan,240,16,0.7343,3,18.75%,"+Partizan,+FK Crvena zvezda,-Radnicki 1923"
soccer,Serbia,Super Liga,2016,men,FK Crvena zvezda,240,16,0.7736,2,12.50%,"+FK Crvena zvezda,+Partizan"
soccer,Singagore,S-League,2007,men,Warriors,198,12,0.8737,3,25.00%,"+Warriors,+Home Utd,+Tampines"
soccer,Singagore,S-League,2008,men,Warriors,198,12,0.8789,5,41.67%,"+Warriors,+Super Reds,+Home Utd,+Tampines,-Balestier Khalsa"
soccer,Singagore,S-League,2009,men,Warriors,193,12,0.7626,3,25.00%,"-Balestier Khalsa,+Warriors,+Tampines"
soccer,Singagore,S-League,2010,men,Warriors,198,12,0.7832,4,33.33%,"-Woodlands W-,-Hougang,+Etoile,+Tampines"
soccer,Singagore,S-League,2011,men,Tampines,198,12,0.8812,5,41.67%,"-Woodlands W-,-Tanjong Pagar,-Balestier Khalsa,-Young Lions,-Gombak"
soccer,Singagore,S-League,2012,men,Tampines,156,13,0.6927,2,15.38%,"-Woodlands W-,+Tampines"
soccer,Singagore,S-League,2013,men,Tampines,132,12,0.6138,1,8.33%,-Young Lions
soccer,Singagore,S-League,2014,men,Brunei DPMM,132,12,0.6606,2,16.67%,"-Harimau Muda B,+Brunei DPMM"
soccer,Singagore,S-League,2015,men,Brunei DPMM,135,10,0.5397,1,10.00%,-Hougang
soccer,Slovakia,Corgon Liga,2007,men,Zilina,132,12,0.6211,1,8.33%,+Zilina
soccer,Slovakia,Corgon Liga,2008,men,FC Petrzalka Akademia,198,12,0.8664,3,25.00%,"+FC Petrzalka Akademia,+Zilina,-Trencin"
soccer,Slovakia,Corgon Liga,2009,men,Slovan Bratislava,198,12,0.7172,2,16.67%,"+Slovan Bratislava,-Z- Moravce"
soccer,Slovakia,Corgon Liga,2010,men,Zilina,198,12,0.7257,2,16.67%,"+Slovan Bratislava,+Zilina"
soccer,Slovakia,Corgon Liga,2011,men,Slovan Bratislava,198,12,0.6235,1,8.33%,+Slovan Bratislava
soccer,Slovakia,Corgon Liga,2012,men,Zilina,198,12,0.7789,4,33.33%,"-Dun- Streda,+Zilina,+Trnava,+Slovan Bratislava"
soccer,Slovakia,Corgon Liga,2013,men,Slovan Bratislava,198,12,0.2360,0,0.00%,-
soccer,Slovakia,Corgon Liga,2014,men,Slovan Bratislava,198,12,0.6657,1,8.33%,+Slovan Bratislava
soccer,Slovakia,Fortuna Liga,2015,men,Trencin,198,12,0.7968,4,33.33%,"+Trencin,+Zilina,+Slovan Bratislava,+Trnava"
soccer,Slovakia,Fortuna Liga,2016,men,Trencin,198,12,0.8190,3,25.00%,"+Trencin,+Slovan Bratislava,+Myjava"
soccer,Slovenia,Prva Liga,2007,men,Domzale,180,10,0.7533,3,30.00%,"+Domzale,-Bela Krajina,-Interblock"
soccer,Slovenia,Prva Liga,2008,men,Domzale,180,10,0.7252,1,10.00%,-Ivancna Gorica
soccer,Slovenia,Prva Liga,2009,men,Maribor,180,10,-0.0065,0,0.00%,-
soccer,Slovenia,Prva Liga,2010,men,Koper,180,10,0.5917,1,10.00%,+Koper
soccer,Slovenia,Prva Liga,2011,men,Maribor,180,10,0.7121,2,20.00%,"+Maribor,+Domzale"
soccer,Slovenia,Prva Liga,2012,men,Maribor,180,10,0.7978,3,30.00%,"+Maribor,-Nafta,-Triglav"
soccer,Slovenia,Prva Liga,2013,men,Maribor,180,10,0.7634,2,20.00%,"+Maribor,+NK Olimpija Ljubljana"
soccer,Slovenia,Prva Liga,2014,men,Maribor,180,10,0.7733,3,30.00%,"+Maribor,-Triglav,+Koper"
soccer,Slovenia,Prva Liga,2015,men,Maribor,180,10,0.8135,2,20.00%,"-Radomlje,+Maribor"
soccer,Slovenia,Prva Liga,2016,men,NK Olimpija Ljubljana,180,10,0.6562,1,10.00%,+NK Olimpija Ljubljana
soccer,South Africa,Premier League,2007,men,Mamelodi Sundowns,240,16,0.5386,1,6.25%,+Mamelodi Sundowns
soccer,South Africa,Premier League,2008,men,Supersport Utd,240,16,0.3267,0,0.00%,-
soccer,South Africa,Premier League,2009,men,Supersport Utd,240,16,0.3519,0,0.00%,-
soccer,South Africa,Premier League,2010,men,Supersport Utd,240,16,0.5427,1,6.25%,+Supersport Utd
soccer,South Africa,Premier League,2011,men,Orlando Pirates,240,16,0.7419,4,25.00%,"-Cape Town City,+Orlando Pirates,+Mamelodi Sundowns,+Ajax Cape Town"
soccer,South Africa,Premier League,2012,men,Orlando Pirates,240,16,0.6322,2,12.50%,"-Jomo Cosmos,-Santos"
soccer,South Africa,Premier League,2013,men,Kaizer Chiefs,240,16,0.5161,1,6.25%,+Kaizer Chiefs
soccer,South Africa,Premier League,2014,men,Mamelodi Sundowns,240,16,0.6589,2,12.50%,"+Mamelodi Sundowns,+Kaizer Chiefs"
soccer,South Africa,Premier League,2015,men,Kaizer Chiefs,240,16,0.6168,1,6.25%,+Kaizer Chiefs
soccer,South Africa,Premier League,2016,men,Mamelodi Sundowns,240,16,0.6616,2,12.50%,"+Mamelodi Sundowns,+Bidvest Wits"
soccer,South Korea,k-League,2007,men,Seongnam,182,14,0.6929,2,14.29%,"-Sangju Sangmu,-Busan"
soccer,South Korea,k-League,2008,men,Suwon Bluewings,182,14,0.7270,5,35.71%,"-Sangju Sangmu,-Busan,-Daegu,-Daejeon,-Jeju Utd"
soccer,South Korea,k-League,2009,men,Jeonbuk,210,15,0.5843,2,13.33%,"+Jeonbuk,+Seoul"
soccer,South Korea,k-League,2010,men,Seoul,210,15,0.7521,5,33.33%,"+Seoul,+Jeju Utd,-Sangju Sangmu,-Daegu,+Seongnam"
soccer,South Korea,k-League,2011,men,Jeonbuk,240,16,0.7052,3,18.75%,"-Gangwon,+Jeonbuk,+Pohang"
soccer,South Korea,k-League,2012,men,Seoul,240,16,0.6536,2,12.50%,"+Seoul,+Jeonbuk"
soccer,South Korea,k-League,2013,men,Pohang,182,14,0.7377,2,14.29%,"-Daejeon,-Gangwon"
soccer,South Korea,k-League,2014,men,Jeonbuk,198,12,0.6707,1,8.33%,+Jeonbuk
soccer,South Korea,k-League,2015,men,Jeonbuk,198,12,0.7741,2,16.67%,"-Daejeon,-Busan"
soccer,Spain,Primera Division,2007,men,Real Madrid,380,20,0.6527,3,15.00%,"-Gimnastic,+Barcelona,+Real Madrid"
soccer,Spain,Primera Division,2008,men,Real Madrid,380,20,0.6817,3,15.00%,"+Real Madrid,+Villarreal,-Levante"
soccer,Spain,Primera Division,2009,men,Barcelona,380,20,0.6894,3,15.00%,"+Barcelona,+Real Madrid,+Sevilla"
soccer,Spain,Primera Division,2010,men,Barcelona,380,20,0.8276,3,15.00%,"+Barcelona,+Real Madrid,+Valencia"
soccer,Spain,Primera Division,2011,men,Barcelona,380,20,0.7718,3,15.00%,"+Barcelona,+Real Madrid,+Valencia"
soccer,Spain,Primera Division,2012,men,Real Madrid,380,20,0.7812,2,10.00%,"+Real Madrid,+Barcelona"
soccer,Spain,Primera Division,2013,men,Barcelona,380,20,0.7960,3,15.00%,"+Barcelona,+Real Madrid,+Atl- Madrid"
soccer,Spain,Primera Division,2014,men,Atl. Madrid,380,20,0.8045,4,20.00%,"+Atl- Madrid,+Real Madrid,+Barcelona,+Ath Bilbao"
soccer,Spain,Primera Division,2015,men,Barcelona,380,20,0.8497,5,25.00%,"+Barcelona,+Real Madrid,+Sevilla,+Valencia,+Atl- Madrid"
soccer,Spain,Primera Division,2016,men,Barcelona,380,20,0.8079,3,15.00%,"+Barcelona,+Atl- Madrid,+Real Madrid"
soccer,Sweden,Allsvenskan,2007,men,Goteborg,182,14,0.4206,0,0.00%,-
soccer,Sweden,Allsvenskan,2008,men,Kalmar,240,16,0.7255,4,25.00%,"+Kalmar,+Elfsborg,-Norrkoping,-Sundsvall"
soccer,Sweden,Allsvenskan,2009,men,AIK,240,16,0.6158,2,12.50%,"+AIK,+Goteborg"
soccer,Sweden,Allsvenskan,2010,men,Malmo FF,240,16,0.6495,2,12.50%,"+Malmo FF,+Helsingborg"
soccer,Sweden,Allsvenskan,2011,men,Helsingborg,240,16,0.7011,2,12.50%,"-Halmstad,+Helsingborg"
soccer,Sweden,Allsvenskan,2012,men,Elfsborg,240,16,0.7279,4,25.00%,"-GAIS,-Orebro,-Sundsvall,+Malmo FF"
soccer,Sweden,Allsvenskan,2013,men,Malmo FF,240,16,0.6801,3,18.75%,"-Syrianska,+Malmo FF,+AIK"
soccer,Sweden,Allsvenskan,2014,men,Malmo FF,240,16,0.6497,2,12.50%,"-Brommapojkarna,+Malmo FF"
soccer,Sweden,Allsvenskan,2015,men,Norrkoping,240,16,0.7917,5,31.25%,"-Atvidabergs,+Norrkoping,+Goteborg,+AIK,+Djurgarden"
soccer,Switzerland,Super League,2007,men,Zurich,180,10,0.8262,4,40.00%,"+Zurich,-Schaffhausen,-Aarau,-Luzern"
soccer,Switzerland,Super League,2008,men,Basel,180,10,0.7476,2,20.00%,"+Basel,+Young Boys"
soccer,Switzerland,Super League,2009,men,Zurich,180,10,0.8358,3,30.00%,"+Zurich,+Young Boys,+Basel"
soccer,Switzerland,Super League,2010,men,Basel,180,10,0.8307,3,30.00%,"+Basel,+Young Boys,-Aarau"
soccer,Switzerland,Super League,2011,men,Basel,180,10,0.7530,2,20.00%,"+Basel,+Zurich"
soccer,Switzerland,Super League,2012,men,Basel,162,10,0.7498,1,10.00%,+Basel
soccer,Switzerland,Super League,2013,men,Basel,180,10,0.7222,2,20.00%,"-Servette Geneve FC,-Lausanne"
soccer,Switzerland,Super League,2014,men,Basel,180,10,0.6500,1,10.00%,-Lausanne
soccer,Switzerland,Super League,2015,men,Basel,180,10,0.7150,2,20.00%,"+Basel,+Young Boys"
soccer,Switzerland,Super League,2016,men,Basel,180,10,0.7732,2,20.00%,"+Basel,+Young Boys"
soccer,Thailand,Thai Premier League ,2007,men,Chonburi,240,16,0.5753,1,6.25%,+Chonburi
soccer,Thailand,Thai Premier League ,2008,men,Buriram,240,16,0.6756,2,12.50%,"+Buriram,-Customs Department"
soccer,Thailand,Thai Premier League ,2009,men,Muang Thong Utd,240,16,0.7042,2,12.50%,"+Muang Thong Utd,+Chonburi"
soccer,Thailand,Thai Premier League ,2010,men,Muang Thong Utd,240,16,0.7415,4,25.00%,"+Muang Thong Utd,+Buriram,+Chonburi,-Army United"
soccer,Thailand,Thai Premier League ,2012,men,Muang Thong Utd,306,18,0.7732,3,16.67%,"+Muang Thong Utd,+Chonburi,-TTM Chiangmai"
soccer,Thailand,Thai Premier League ,2013,men,Buriram,272,17,0.7742,3,17.65%,"+Buriram,+Muang Thong Utd,+Chonburi"
soccer,Thailand,Thai Premier League ,2014,men,Buriram,380,20,0.7433,4,20.00%,"-Samut Songkhram,+Buriram,+Chonburi,+Muang Thong Utd"
soccer,Thailand,Thai Premier League ,2015,men,Buriram,306,18,0.7832,4,22.22%,"+Buriram,-TOT,+Muang Thong Utd,-BEC Tero Sasana"
soccer,Trinidad and Tobago,Pro League,2012,men,W Connection,84,8,0.5262,0,0.00%,-
soccer,Trinidad and Tobago,Pro League,2013,men,Defence Force,84,8,0.8226,3,37.50%,"-S-A- Rangers,-T&TEC,-Police"
soccer,Trinidad and Tobago,Pro League,2014,men,W Connection,108,9,0.8077,3,33.33%,"-S-A- Rangers,-San Juan Jabloteh,-Police"
soccer,Trinidad and Tobago,Pro League,2015,men,Central FC,108,9,0.7805,2,22.22%,"-S-A- Rangers,+Central FC"
soccer,Trinidad and Tobago,Pro League,2016,men,San Juan Jabloteh,135,10,0.7193,2,20.00%,"-S-A- Rangers,-Caledonia fire"
soccer,Tunisia,Ligue Professionnelle 1,2007,men,Etoile Sahel,182,14,0.6739,3,21.43%,"+Etoile Sahel,+Club Africain,+Esperance Tunis"
soccer,Tunisia,Ligue Professionnelle 1,2008,men,Club Africain,182,14,0.7469,2,14.29%,"+Club Africain,+Etoile Sahel"
soccer,Tunisia,Ligue Professionnelle 1,2009,men,Esperance Tunis,182,14,0.7944,3,21.43%,"+Esperance Tunis,+Club Africain,+Etoile Sahel"
soccer,Tunisia,Ligue Professionnelle 1,2010,men,Esperance Tunis,182,14,0.5044,1,7.14%,+Esperance Tunis
soccer,Tunisia,Ligue Professionnelle 1,2011,men,Esperance Tunis,182,14,0.7443,2,14.29%,"+Esperance Tunis,+Etoile Sahel"
soccer,Tunisia,Ligue Professionnelle 1,2012,men,Esperance Tunis,240,16,0.7903,3,18.75%,"+Esperance Tunis,+Bizertin,+Sfaxien"
soccer,Tunisia,Ligue Professionnelle 1,2014,men,Esperance Tunis,240,16,0.6972,3,18.75%,"+Esperance Tunis,+Sfaxien,+Etoile Sahel"
soccer,Tunisia,Ligue Professionnelle 1,2015,men,Club Africain,240,16,0.7803,4,25.00%,"+Club Africain,+Esperance Tunis,+Etoile Sahel,-Djerba"
soccer,Tunisia,Ligue Professionnelle 1,2016,men,Etoile Sahel,240,16,0.8319,3,18.75%,"+Etoile Sahel,+Esperance Tunis,+Sfaxien"
soccer,Turkey,Super Lig,2007,men,Fenerbahce,306,18,0.5047,1,5.56%,-Sakaryaspor
soccer,Turkey,Super Lig,2008,men,Galatasaray,306,18,0.7898,4,22.22%,"+Galatasaray,+Sivasspor,+Besiktas,+Fenerbahce"
soccer,Turkey,Super Lig,2009,men,Besiktas,306,18,0.6965,3,16.67%,"-Hacettepe,-Kocaelispor,+Besiktas"
soccer,Turkey,Super Lig,2010,men,Bursaspor,306,18,0.8349,5,27.78%,"-Osmanlispor,+Bursaspor,+Fenerbahce,+Galatasaray,+Besiktas"
soccer,Turkey,Super Lig,2011,men,Fenerbahce,306,18,0.7912,3,16.67%,"+Fenerbahce,+Trabzonspor,+Bursaspor"
soccer,Turkey,Super Lig,2012,men,Galatasaray,306,18,0.7124,2,11.11%,"-Ankaragucu,+Galatasaray"
soccer,Turkey,Super Lig,2013,men,Galatasaray,306,18,0.5722,2,11.11%,"+Galatasaray,-Mersin"
soccer,Turkey,Super Lig,2014,men,Fenerbahce,306,18,0.6157,1,5.56%,+Fenerbahce
soccer,Turkey,Super Lig,2015,men,Galatasaray,306,18,0.7741,4,22.22%,"+Galatasaray,+Fenerbahce,+Besiktas,+Bursaspor"
soccer,Turkey,Super Lig,2016,men,Besiktas,306,18,0.7624,3,16.67%,"+Besiktas,+Fenerbahce,-Mersin"
soccer,Ulkraine,Premier League,2007,men,Dyn. Kiev,240,16,0.7668,3,18.75%,"+Dyn- Kiev,+Shakhtar Donetsk,+Metalist Kharkiv"
soccer,Ulkraine,Premier League,2008,men,Shakhtar Donetsk,240,16,0.8181,4,25.00%,"+Shakhtar Donetsk,+Dyn- Kiev,+Metalist Kharkiv,+Dnipro"
soccer,Ulkraine,Premier League,2009,men,Dyn. Kiev,240,16,0.8047,4,25.00%,"+Dyn- Kiev,-FK Kharkov,+Shakhtar Donetsk,+Metalist Kharkiv"
soccer,Ulkraine,Premier League,2010,men,Shakhtar Donetsk,240,16,0.8333,5,31.25%,"+Shakhtar Donetsk,+Dyn- Kiev,+Metalist Kharkiv,-Hoverla Uzhhorod,+Dnipro"
soccer,Ulkraine,Premier League,2011,men,Shakhtar Donetsk,240,16,0.7599,3,18.75%,"+Shakhtar Donetsk,+Dyn- Kiev,+Metalist Kharkiv"
soccer,Ulkraine,Premier League,2012,men,Shakhtar Donetsk,240,16,0.8434,5,31.25%,"+Shakhtar Donetsk,+Dyn- Kiev,+Metalist Kharkiv,+Dnipro,+Arsenal Kiev"
soccer,Ulkraine,Premier League,2013,men,Shakhtar Donetsk,240,16,0.8315,4,25.00%,"+Shakhtar Donetsk,-Met- Zaporozhye,+Metalist Kharkiv,+Dyn- Kiev"
soccer,United Arab Emirates ,UAE League,2007,men,Al Wasl,132,12,0.5404,1,8.33%,+Al Wasl
soccer,United Arab Emirates ,UAE League,2008,men,Al Shabab,132,12,0.4290,0,0.00%,-
soccer,United Arab Emirates ,UAE League,2009,men,Al Ahli Dubai,132,12,0.7783,2,16.67%,"+Al Ahli Dubai,+Al Jazira"
soccer,United Arab Emirates ,UAE League,2010,men,Al Wahda,132,12,0.7936,3,25.00%,"+Al Wahda,-Ajman,-Emirates Club"
soccer,United Arab Emirates ,UAE League,2011,men,Al Jazira,132,12,0.6233,1,8.33%,+Al Jazira
soccer,United Arab Emirates ,UAE League,2012,men,Al Ain,132,12,0.7284,2,16.67%,"+Al Ain,-Al Sharjah"
soccer,United Arab Emirates ,UAE League,2013,men,Al Ain,182,14,0.7317,4,28.57%,"+Al Ain,-Ittihad Kalba,-Dibba Al Fujairah,-Al Shaab"
soccer,United Arab Emirates ,UAE League,2014,men,Al Ahli Dubai,182,14,0.7728,4,28.57%,"+Al Ahli Dubai,-Al Shaab,-Dubai Club,-Al Wasl"
soccer,United Arab Emirates ,UAE League,2015,men,Al Ain,182,14,0.7659,3,21.43%,"-Ittihad Kalba,+Al Ain,-Ajman"
soccer,United Arab Emirates ,UAE League,2016,men,Al Ahli Dubai,182,14,0.7692,2,14.29%,"+Al Ahli Dubai,-Al Shaab"
soccer,Uzbekistan,Professional Football League,2011,men,Bunyodkor,182,14,0.7530,3,21.43%,"+Bunyodkor,+Nasaf Qarshi,+Pakhtakor"
soccer,Uzbekistan,Professional Football League,2012,men,Pakhtakor,182,14,0.7387,3,21.43%,"+Pakhtakor,+Bunyodkor,+Nasaf Qarshi"
soccer,Uzbekistan,Professional Football League,2013,men,Bunyodkor,182,14,0.8090,3,21.43%,"+Bunyodkor,+Lok- Tashkent,+Nasaf Qarshi"
soccer,Uzbekistan,Professional Football League,2014,men,Pakhtakor,182,14,0.8521,4,28.57%,"+Pakhtakor,+Lok- Tashkent,+Nasaf Qarshi,+Bunyodkor"
soccer,Uzbekistan,Professional Football League,2015,men,Pakhtakor,240,16,0.8155,4,25.00%,"+Pakhtakor,+Lok- Tashkent,+Nasaf Qarshi,+Bunyodkor"
soccer,Vietnam,V-League,2007,men,Binh Duong,182,14,0.5309,1,7.14%,+Binh Duong
soccer,Vietnam,V-League,2008,men,Binh Duong,182,14,0.5625,1,7.14%,-Hoa Phat
soccer,Vietnam,V-League,2009,men,Da Nang,182,14,0.2652,0,0.00%,-
soccer,Vietnam,V-League,2010,men,T&T Ha Noi,182,14,0.5476,1,7.14%,-Nam Dinh
soccer,Vietnam,V-League,2011,men,Song Lam Nghe An,182,14,0.1388,0,0.00%,-
soccer,Vietnam,V-League,2012,men,Da Nang,182,14,0.4728,0,0.00%,-
soccer,Vietnam,V-League,2015,men,Binh Duong,182,14,0.5464,1,7.14%,+Binh Duong
soccer,Wales,premier,2007,men,TNS,272,17,0.8104,6,35.29%,"+TNS,+Rhyl,-Cwmbran Town,-Caernarfon,+Welshpool,+Connahs Q-"
soccer,Wales,premier,2008,men,Llanelli,306,18,0.7925,4,22.22%,"+Llanelli,+TNS,+Rhyl,-Porthmadog"
soccer,Wales,premier,2009,men,Rhyl,306,18,0.8282,5,27.78%,"+Rhyl,+Llanelli,+TNS,+Carmarthen Town,+Haverfordwest"
soccer,Wales,premier,2010,men,TNS,306,18,0.8597,7,38.89%,"-Druids,-Caersws FC,+TNS,+Llanelli,-Welshpool,-Porthmadog,-Connahs Q-"
basketball,Australia,NBL,2010,men,Perth,112,8,0.8248,4,50.00%,"-Adelaide,-Melbourne Utd,-Cairns,+Wolves"
basketball,Australia,NBL,2011,men,New Zealand Breakers,126,9,0.9205,6,66.67%,"+New Zealand Breakers,-Sydney,+Cairns,+Perth,-Adelaide,-Melbourne Utd"
basketball,Australia,NBL,2012,men,New Zealand Breakers,126,9,0.9168,4,44.44%,"+New Zealand Breakers,+Perth,+Townsville,+Gold Coast"
basketball,Australia,NBL,2013,men,New Zealand Breakers,112,8,0.9493,3,37.50%,"+New Zealand Breakers,+Perth,-Adelaide"
basketball,Australia,NBL,2014,men,Perth,112,8,0.8814,4,50.00%,"+Perth,+Adelaide,+Melbourne Utd,+Illawarra Hawks"
basketball,Australia,NBL,2015,men,Cairns,112,8,0.9362,4,50.00%,"-Illawarra Hawks,+Cairns,+New Zealand Breakers,-Sydney"
basketball,Australia,NBL,2016,men,Perth,112,8,0.9165,3,37.50%,"-Sydney,-Townsville,+Perth"
basketball,Australia,WNLB,2010,women,Melbourne B. W,107,10,0.9701,8,80.00%,"+Melbourne B- W,-AIS W,-Perth Lynx W,-Dandenong W,-Logan W,-Adelaide Lightning W,-Bendigo W,+Canberra W"
